,tags,CN,SW
0,NOUN,316472,28564
1,PROPN,289055,26853
0,NP,214839,31951
1,VP,83123,8617
2,VERB,63687,8965
3,ADJ,56916,7382
4,ADV,17883,1480
2,S,9301,1556
3,PP,7161,3004
4,ADJP,7024,2381
5,X,3524,661
5,X,3025,531
6,FRAG,1924,675
6,INTJ,1832,226
7,ADVP,1342,614
8,INTJ,1224,390
9,SBAR,806,205
7,ADP,789,104
8,NUM,116,52
10,SQ,110,74
9,PRON,108,52
11,SBARQ,104,72
12,SINV,93,31
10,DET,72,25
13,WHNP,66,24
14,QP,59,32
15,UCP,58,9
16,LST,49,17
11,CCONJ,37,9
12,PUNCT,21,19
13,SCONJ,19,19
17,WHADVP,19,12
14,AUX,18,16
15,PART,11,7
18,WHADJP,10,4
19,WHPP,3,11
20,RRC,1,0
