tags,CN,SW,tag_group
"('PROPN', 'PROPN')",0.1469,0.1083,PosPos
"('NOUN', 'NOUN')",0.1151,0.1435,PosPos
"('PROPN', 'NOUN')",0.1029,0.1263,PosPos
"('NOUN', 'PROPN')",0.0848,0.0866,PosPos
"('NP', 'NOUN')",0.0414,0.0048,PosPhrase
"('NP', 'NP')",0.0394,0.0012,PhrasePhrase
"('NP', 'PROPN')",0.038,0.0037,PosPhrase
"('PROPN', 'ADJ')",0.0309,0.0501,PosPos
"('PROPN', 'NP')",0.0287,0.0148,PosPhrase
"('NOUN', 'NP')",0.0283,0.012,PosPhrase
"('NOUN', 'ADJ')",0.0225,0.0426,PosPos
"('VERB', 'PROPN')",0.0222,0.0267,PosPos
"('PROPN', 'VERB')",0.0214,0.0306,PosPos
"('ADJ', 'PROPN')",0.0211,0.0324,PosPos
"('NOUN', 'VERB')",0.0202,0.0316,PosPos
"('VERB', 'NOUN')",0.0198,0.0411,PosPos
"('ADJ', 'NOUN')",0.0185,0.0434,PosPos
"('ADJ', 'ADJ')",0.0174,0.0387,PosPos
"('VERB', 'VERB')",0.0153,0.023,PosPos
"('VP', 'VP')",0.013,0.0002,PhrasePhrase
"('NOUN', 'VP')",0.0107,0.0025,PosPhrase
"('NP', 'ADJ')",0.0106,0.0019,PosPhrase
"('VP', 'NOUN')",0.0081,0.001,PosPhrase
"('ADJ', 'VERB')",0.0066,0.0136,PosPos
"('NP', 'VERB')",0.0063,0.0008,PosPhrase
"('VERB', 'ADJ')",0.0062,0.0148,PosPos
"('ADV', 'PROPN')",0.0049,0.0042,PosPos
"('ADV', 'ADJ')",0.0046,0.0042,PosPos
"('PROPN', 'VP')",0.0044,0.0027,PosPhrase
"('NP', 'VP')",0.0042,0.0001,PhrasePhrase
"('VP', 'NP')",0.004,0.0001,PhrasePhrase
"('VP', 'PROPN')",0.0037,0.0008,PosPhrase
"('PROPN', 'ADV')",0.0036,0.0052,PosPos
"('VERB', 'NP')",0.0035,0.003,PosPhrase
"('VP', 'VERB')",0.0035,0.0007,PosPhrase
"('ADV', 'NOUN')",0.0032,0.0054,PosPos
"('VERB', 'VP')",0.003,0.0022,PosPhrase
"('ADJ', 'NP')",0.0029,0.0042,PosPhrase
"('NOUN', 'ADV')",0.0026,0.0046,PosPos
"('ADV', 'ADV')",0.0024,0.0032,PosPos
"('X', 'PROPN')",0.0022,0.0015,PosPhrase
"('X', 'NOUN')",0.0018,0.0015,PosPhrase
"('PROPN', 'X')",0.0017,0.0016,PosPhrase
"('VP', 'ADJ')",0.0015,0.0004,PosPhrase
"('ADJ', 'ADV')",0.0014,0.0035,PosPos
"('ADV', 'VERB')",0.0013,0.0024,PosPos
"('NOUN', 'PP')",0.0011,0.0009,PosPhrase
"('INTJ', 'PROPN')",0.0011,0.001,PosPhrase
"('PROPN', 'PRON')",0.001,0.0008,PosPos
"('NOUN', 'X')",0.001,0.0013,PosPhrase
"('VERB', 'ADV')",0.001,0.0029,PosPos
"('NP', 'ADV')",0.001,0.0002,PosPhrase
"('PROPN', 'PP')",0.0009,0.0008,PosPhrase
"('NOUN', 'ADJP')",0.0009,0.0005,PosPhrase
"('INTJ', 'NOUN')",0.0008,0.0011,PosPhrase
"('S', 'NOUN')",0.0008,0.0,PosPhrase
"('X', 'NP')",0.0007,0.0002,PosPhrase
"('PROPN', 'INTJ')",0.0007,0.0015,PosPhrase
"('NOUN', 'PRON')",0.0007,0.0007,PosPos
"('VP', 'S')",0.0007,0.0,PhrasePhrase
"('ADJP', 'ADJ')",0.0006,0.0002,PosPhrase
"('NP', 'X')",0.0006,0.0001,PosPhrase
"('NOUN', 'S')",0.0006,0.0003,PosPhrase
"('PP', 'NOUN')",0.0006,0.0003,PosPhrase
"('NP', 'PRON')",0.0006,0.0001,PosPhrase
"('S', 'PROPN')",0.0006,0.0,PosPhrase
"('ADV', 'NP')",0.0005,0.0007,PosPhrase
"('X', 'ADJ')",0.0005,0.0005,PosPhrase
"('PROPN', 'ADJP')",0.0005,0.0008,PosPhrase
"('NP', 'ADJP')",0.0005,0.0,PhrasePhrase
"('NOUN', 'INTJ')",0.0005,0.0014,PosPhrase
"('S', 'NP')",0.0005,0.0,PhrasePhrase
"('PROPN', 'ADP')",0.0005,0.0008,PosPos
"('ADJ', 'VP')",0.0005,0.001,PosPhrase
"('ADJP', 'NOUN')",0.0005,0.0001,PosPhrase
"('ADJP', 'PROPN')",0.0005,0.0001,PosPhrase
"('PP', 'PP')",0.0004,0.0,PhrasePhrase
"('PP', 'ADJ')",0.0004,0.0001,PosPhrase
"('ADP', 'PROPN')",0.0004,0.0006,PosPos
"('NOUN', 'ADP')",0.0004,0.0008,PosPos
"('NP', 'S')",0.0004,0.0,PhrasePhrase
"('PP', 'PROPN')",0.0004,0.0002,PosPhrase
"('PROPN', 'NUM')",0.0004,0.0004,PosPos
"('X', 'X')",0.0004,0.0002,PosPhrase
"('PROPN', 'S')",0.0004,0.0004,PosPhrase
"('X', 'VERB')",0.0004,0.0005,PosPhrase
"('ADP', 'NOUN')",0.0003,0.0009,PosPos
"('S', 'S')",0.0003,0.0,PhrasePhrase
"('VP', 'ADJP')",0.0003,0.0,PhrasePhrase
"('VERB', 'PP')",0.0003,0.0005,PosPhrase
"('ADJ', 'ADJP')",0.0003,0.001,PosPhrase
"('VERB', 'X')",0.0003,0.0004,PosPhrase
"('NOUN', 'NUM')",0.0003,0.0005,PosPos
"('ADJP', 'NP')",0.0003,0.0,PhrasePhrase
"('INTJ', 'NP')",0.0003,0.0001,PosPhrase
"('S', 'ADJ')",0.0003,0.0,PosPhrase
"('VP', 'ADV')",0.0003,0.0001,PosPhrase
"('PP', 'VERB')",0.0002,0.0001,PosPhrase
"('PROPN', 'AUX')",0.0002,0.0002,PosPos
"('ADJ', 'X')",0.0002,0.0004,PosPhrase
"('VERB', 'ADJP')",0.0002,0.0003,PosPhrase
"('VP', 'PP')",0.0002,0.0,PhrasePhrase
"('PP', 'ADV')",0.0002,0.0001,PosPhrase
"('ADVP', 'ADJ')",0.0002,0.0001,PosPhrase
"('NP', 'PP')",0.0002,0.0,PhrasePhrase
"('ADJP', 'ADJP')",0.0002,0.0,PhrasePhrase
"('NOUN', 'AUX')",0.0002,0.0003,PosPos
"('ADJ', 'PP')",0.0002,0.0006,PosPhrase
"('NP', 'INTJ')",0.0002,0.0001,PosPhrase
"('VERB', 'ADP')",0.0002,0.0008,PosPos
"('NOUN', 'FRAG')",0.0002,0.0001,PosPhrase
"('ADVP', 'PROPN')",0.0002,0.0001,PosPhrase
"('VERB', 'S')",0.0002,0.0002,PosPhrase
"('INTJ', 'INTJ')",0.0002,0.0003,PosPhrase
"('VERB', 'PRON')",0.0002,0.0006,PosPos
"('ADJP', 'VERB')",0.0002,0.0001,PosPhrase
"('INTJ', 'ADJ')",0.0002,0.0006,PosPhrase
"('ADVP', 'NOUN')",0.0002,0.0001,PosPhrase
"('INTJ', 'VERB')",0.0002,0.0004,PosPhrase
"('S', 'VP')",0.0002,0.0,PhrasePhrase
"('S', 'VERB')",0.0002,0.0,PosPhrase
"('ADP', 'ADV')",0.0001,0.0003,PosPos
"('ADV', 'ADP')",0.0001,0.0003,PosPos
"('ADV', 'X')",0.0001,0.0001,PosPhrase
"('ADP', 'NP')",0.0001,0.0001,PosPhrase
"('ADP', 'ADP')",0.0001,0.0003,PosPos
"('ADV', 'VP')",0.0001,0.0002,PosPhrase
"('ADV', 'PP')",0.0001,0.0003,PosPhrase
"('ADP', 'ADJ')",0.0001,0.0004,PosPos
"('ADV', 'ADVP')",0.0001,0.0002,PosPhrase
"('AUX', 'NOUN')",0.0001,0.0002,PosPos
"('ADVP', 'ADVP')",0.0001,0.0,PhrasePhrase
"('ADV', 'ADJP')",0.0001,0.0001,PosPhrase
"('X', 'INTJ')",0.0001,0.0001,PosPhrase
"('ADVP', 'NP')",0.0001,0.0,PhrasePhrase
